timestamp,hour,day_of_week,month,is_weekend,day_of_year,week_of_year,occupancy,num_occupants,fan_state,fan_rated_w,fan_power_w,fan_kwh,fridge_state,fridge_rated_w,fridge_power_w,fridge_kwh,ac_state,ac_rated_w,ac_power_w,ac_kwh,light_state,light_rated_w,light_power_w,light_kwh,tv_state,tv_rated_w,tv_power_w,tv_kwh,total_kwh,voltage,is_anomaly,anomaly_type,anomaly_appliance
2025-01-01 00:00:00,0.0,2,1,0,1,1,1,2,0,150,0.0,0.0,1,150,147.79,0.0369,0,1400,0.0,0.0,1,60,63.69,0.0159,1,100,95.51,0.0239,0.0767,226.9,0,none,none
2025-01-01 00:15:00,0.25,2,1,0,1,1,1,2,0,150,0.0,0.0,1,150,137.18,0.0343,0,1400,0.0,0.0,1,60,60.7,0.0152,0,100,0.0,0.0,0.0495,230.0,0,none,none
2025-01-01 00:30:00,0.5,2,1,0,1,1,1,3,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,57.2,0.0143,0,100,0.0,0.0,0.0143,229.7,0,none,none
2025-01-01 00:45:00,0.75,2,1,0,1,1,1,3,0,150,0.0,0.0,0,150,0.0,0.0,1,1400,1343.55,0.3359,0,60,0.0,0.0,0,100,0.0,0.0,0.3359,232.4,0,none,none
2025-01-01 01:00:00,1.0,2,1,0,1,1,1,4,0,150,0.0,0.0,1,150,135.2,0.0338,0,1400,0.0,0.0,1,60,141.34,0.0353,0,100,0.0,0.0,0.0691,233.3,1,power_spike,light
2025-01-01 01:15:00,1.25,2,1,0,1,1,1,4,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,63.27,0.0158,0,100,0.0,0.0,0.0158,230.7,0,none,none
2025-01-01 01:30:00,1.5,2,1,0,1,1,1,4,1,150,148.97,0.0372,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,65.55,0.0164,0,100,0.0,0.0,0.0536,231.6,0,none,none
2025-01-01 01:45:00,1.75,2,1,0,1,1,1,1,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,53.13,0.0133,0,100,0.0,0.0,0.0133,226.4,0,none,none
2025-01-01 02:00:00,2.0,2,1,0,1,1,1,2,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,56.21,0.0141,0,100,0.0,0.0,0.0141,230.7,0,none,none
2025-01-01 02:15:00,2.25,2,1,0,1,1,1,2,0,150,0.0,0.0,0,150,0.0,0.0,1,1400,1346.65,0.3367,1,60,58.37,0.0146,0,100,0.0,0.0,0.3513,230.8,0,none,none
2025-01-01 02:30:00,2.5,2,1,0,1,1,1,3,0,150,0.0,0.0,0,150,32.91,0.0082,0,1400,0.0,0.0,1,60,55.83,0.014,0,100,0.0,0.0,0.0222,227.1,1,phantom_load,fridge
2025-01-01 02:45:00,2.75,2,1,0,1,1,1,4,0,150,0.0,0.0,1,150,150.72,0.0377,0,1400,0.0,0.0,1,60,60.34,0.0151,0,100,0.0,0.0,0.0528,231.1,0,none,none
2025-01-01 03:00:00,3.0,2,1,0,1,1,1,2,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,60.39,0.0151,0,100,0.0,0.0,0.0151,231.4,0,none,none
2025-01-01 03:15:00,3.25,2,1,0,1,1,1,2,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,61.87,0.0155,0,100,0.0,0.0,0.0155,230.8,0,none,none
2025-01-01 03:30:00,3.5,2,1,0,1,1,1,4,0,150,0.0,0.0,1,150,412.53,0.1031,0,1400,0.0,0.0,1,60,60.64,0.0152,0,100,0.0,0.0,0.1183,231.8,1,power_spike,fridge
2025-01-01 03:45:00,3.75,2,1,0,1,1,1,3,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,61.92,0.0155,0,100,0.0,0.0,0.0155,231.0,0,none,none
2025-01-01 04:00:00,4.0,2,1,0,1,1,1,2,0,150,0.0,0.0,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,61.47,0.0154,0,100,0.0,0.0,0.0154,223.1,0,none,none
2025-01-01 04:15:00,4.25,2,1,0,1,1,1,4,0,150,0.0,0.0,1,150,153.18,0.0383,1,1400,1360.57,0.3401,1,60,58.08,0.0145,0,100,0.0,0.0,0.393,226.8,0,none,none
2025-01-01 04:30:00,4.5,2,1,0,1,1,1,2,0,150,0.0,0.0,1,150,138.57,0.0346,0,1400,0.0,0.0,1,60,58.71,0.0147,0,100,0.0,0.0,0.0493,234.1,0,none,none
2025-01-01 04:45:00,4.75,2,1,0,1,1,1,1,1,150,141.57,0.0354,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,63.66,0.0159,0,100,0.0,0.0,0.0513,232.8,0,none,none
2025-01-01 05:00:00,5.0,2,1,0,1,1,1,1,1,150,148.07,0.037,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,59.24,0.0148,0,100,0.0,0.0,0.0518,230.7,0,none,none
2025-01-01 05:15:00,5.25,2,1,0,1,1,1,1,1,150,140.19,0.035,0,150,0.0,0.0,0,1400,0.0,0.0,1,60,58.62,0.0147,0,100,0.0,0.0,0.0497,230.1,0,none,none
2025-01-01 05:30:00,5.5,2,1,0,1,1,1,4,0,150,0.0,0.0,1,150,158.32,0.0396,0,1400,0.0,0.0,1,60,58.41,0.0146,0,100,0.0,0.0,0.0542,230.5,0,none,none
